requested_amount_usd,application_date,request_title,screening_score,debt_to_income_text,region_code,employment_tenure_text,policy_code
1000,2007-05-26,Wedding Covered but No Honeymoon,693,10%,NM,4 years,0
1000,2007-05-26,Consolidating Debt,703,10%,MA,< 1 year,0
11000,2007-05-27,Want to consolidate my debt,715,10%,MD,1 year,0
6000,2007-05-27,waksman,698,38.64%,MA,< 1 year,0
1500,2007-05-27,mdrigo,509,9.43%,MD ,< 1 year,0
15000,2007-05-27,Trinfiniti,645,0%,NY,3 years,0
10000,2007-05-27,NOTIFYi Inc,693,10%,MD,< 1 year,0
3900,2007-05-27,For Justin.,700,10%,IN,2 years,0
3000,2007-05-28,title?,694,10%,CO,4 years,0
2500,2007-05-28,timgerst,573,11.76%,KY,4 years,0
3900,2007-05-28,need to consolidate,710,10%,LA,10+ years,0
1000,2007-05-28,sixstrings,680,10%,KY,1 year,0
3000,2007-05-28,bmoore5110,688,10%,PA,< 1 year,0
1500,2007-05-28,MHarkins,704,10%,PA,3 years,0
1000,2007-05-28,Moving,694,10%,AL,< 1 year,0
8000,2007-05-28,Recent College Grad Wants to Pay Off CCs,708,10%,TN,< 1 year,0
12000,2007-05-29,FoundersCafe.com,685,10%,TX,3 years,0
1000,2007-05-29,UChicago2004,698,10%,MD,3 years,0
15000,2007-05-29,Cancer is Killing My Credit,680,10%,OH,< 1 year,0
5000,2007-05-29,2006-2007 College Debt Loan,680,10%,MA,< 1 year,0
15000,2007-05-29,twbmc,712,10%,TX,< 1 year,0
5000,2007-05-29,Bills & Vacation,704,10%,MD,1 year,0
4950,2007-05-29,Vehicle Purchase/Used Auto,693,10%,VA,2 years,0
6100,2007-05-29,thejanman,684,24.69%,OH,2 years,0
12000,2007-05-29,Finish Off College,704,10%,IN,2 years,0
25000,2007-05-29,Phuocpnn,686,10%,MO,< 1 year,0
15000,2007-05-29,Established borrower consolodating debt,698,15.56%,MN,< 1 year,0
5000,2007-05-29,mainmanandy,719,10%,OH,< 1 year,0
10000,2007-05-30,Jaguar10301,602,2.25%,VA,< 1 year,0
10000,2007-05-30,rpinho78,475,21.77%,CT,< 1 year,0
1000,2007-05-30,ashtru,695,0%,OH,< 1 year,0
4000,2007-05-30,sparks,671,36.80%,MO,< 1 year,0
7000,2007-05-30,big fat lender,638,17.73%,CA,< 1 year,0
25000,2007-05-30,toeeeekne,671,4.50%,FL,2 years,0
1000,2007-05-30,stnthoma22,429,15.92%,IN,2 years,0
6500,2007-05-30,natbunn,632,12.98%,TX,< 1 year,0
2000,2007-05-30,SGearhart1381,579,32.64%,MO,< 1 year,0
15000,2007-05-30,2dozen,474,1.55%,OH,4 years,0
6000,2007-05-30,Good Heart Bad Credit!,463,12.34%,CA,1 year,0
2500,2007-05-31,mbcoon,593,18.43%,TX,1 year,0
12500,2007-05-31,boardwalk,578,31.82%,TX,9 years,0
3000,2007-05-31,danthe83,536,0%,MN,< 1 year,0
7500,2007-05-31,maryk2001,524,61.47%,GA,5 years,0
5000,2007-05-31,ppatti113,520,8.93%,MA,1 year,0
5000,2007-05-31,spidermonkey07,0,6%,OH,< 1 year,0
4000,2007-05-31,brock1jd,658,43.80%,MN,< 1 year,0
1000,2007-05-31,jprice1542,0,4.61%,TN,< 1 year,0
5000,2007-05-31,mashowar,492,15.73%,IN,4 years,0
