requested_amount_usd,application_date,request_title,screening_score,region_code,employment_tenure,debt_to_income
1000.0,2007-05-26,wedding covered but no honeymoon,693.0,nm,4 years,10.0
1000.0,2007-05-26,consolidating debt,703.0,ma,< 1 year,10.0
11000.0,2007-05-27,want to consolidate my debt,715.0,md,1 year,10.0
6000.0,2007-05-27,waksman,698.0,ma,< 1 year,38.64
1500.0,2007-05-27,mdrigo,509.0,md,< 1 year,9.43
15000.0,2007-05-27,trinfiniti,645.0,ny,3 years,0.0
10000.0,2007-05-27,notifyi inc,693.0,md,< 1 year,10.0
3900.0,2007-05-27,for justin.,700.0,in,2 years,10.0
3000.0,2007-05-28,title?,694.0,co,4 years,10.0
2500.0,2007-05-28,timgerst,573.0,ky,4 years,11.76
3900.0,2007-05-28,need to consolidate,710.0,la,10+ years,10.0
1000.0,2007-05-28,sixstrings,680.0,ky,1 year,10.0
3000.0,2007-05-28,bmoore5110,688.0,pa,< 1 year,10.0
1500.0,2007-05-28,mharkins,704.0,pa,3 years,10.0
1000.0,2007-05-28,moving,694.0,al,< 1 year,10.0
8000.0,2007-05-28,recent college grad wants to pay off ccs,708.0,tn,< 1 year,10.0
12000.0,2007-05-29,founderscafe.com,685.0,tx,3 years,10.0
1000.0,2007-05-29,uchicago2004,698.0,md,3 years,10.0
15000.0,2007-05-29,cancer is killing my credit,680.0,oh,< 1 year,10.0
5000.0,2007-05-29,2006-2007 college debt loan,680.0,ma,< 1 year,10.0
15000.0,2007-05-29,twbmc,712.0,tx,< 1 year,10.0
5000.0,2007-05-29,bills & vacation,704.0,md,1 year,10.0
4950.0,2007-05-29,vehicle purchase/used auto,693.0,va,2 years,10.0
6100.0,2007-05-29,thejanman,684.0,oh,2 years,24.69
12000.0,2007-05-29,finish off college,704.0,in,2 years,10.0
25000.0,2007-05-29,phuocpnn,686.0,mo,< 1 year,10.0
15000.0,2007-05-29,established borrower consolodating debt,698.0,mn,< 1 year,15.56
5000.0,2007-05-29,mainmanandy,719.0,oh,< 1 year,10.0
10000.0,2007-05-30,jaguar10301,602.0,va,< 1 year,2.25
10000.0,2007-05-30,rpinho78,475.0,ct,< 1 year,21.77
1000.0,2007-05-30,ashtru,695.0,oh,< 1 year,0.0
4000.0,2007-05-30,sparks,671.0,mo,< 1 year,36.8
7000.0,2007-05-30,big fat lender,638.0,ca,< 1 year,17.73
25000.0,2007-05-30,toeeeekne,671.0,fl,2 years,4.5
1000.0,2007-05-30,stnthoma22,429.0,in,2 years,15.92
6500.0,2007-05-30,natbunn,632.0,tx,< 1 year,12.98
2000.0,2007-05-30,sgearhart1381,579.0,mo,< 1 year,32.64
